region,variety,rating
"Columbia Valley, Washington",Red Wine,90.0
"Sonoma County, California",Red Wine,92.0
"Gigondas, Rhone, France",Red Wine,92.0
"St. Emilion, Bordeaux, France",Red Wine,94.0
"Alentejo, Portugal",Red Wine,90.0
"Cotes du Rhone Villages, Rhone, France",Red Wine,90.0
"Mendocino, California",Red Wine,90.0
"Tuscany, Italy",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",White Wine,96.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,91.0
"Tuscany, Italy",Red Wine,93.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Columbia Valley, Washington",Red Wine,92.0
"Kamptal, Austria",White Wine,91.0
"Cornas, Rhone, France",Red Wine,92.0
"St. Emilion, Bordeaux, France",Red Wine,96.0
"Cornas, Rhone, France",Red Wine,91.0
"Atlas Peak, Napa Valley, California",Red Wine,92.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,95.0
"Carneros, California",White Wine,94.0
"Beaujolais, Burgundy, France",Red Wine,90.0
"Russian River, Sonoma County, California",White Wine,90.0
"Chinon, Touraine, Loire, France",Red Wine,90.0
Chile,Red Wine,88.0
South Africa,White Wine,87.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Napa Valley, California",Red Wine,93.0
"St-Julien, Bordeaux, France",Red Wine,93.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Napa Valley, California",Red Wine,90.0
"Russian River, Sonoma County, California",White Wine,92.0
"Russian River, Sonoma County, California",White Wine,91.0
"Cornas, Rhone, France",Red Wine,95.0
"McLaren Vale, South Australia, Australia",Red Wine,92.0
Chile,Red Wine,90.0
"Mt. Harlan, Central Coast, California",White Wine,93.0
"St. Emilion, Bordeaux, France",Red Wine,91.0
"Barolo, Piedmont, Italy",Red Wine,93.0
"Central Coast, California",White Wine,92.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,94.0
"Burgundy, France",Red Wine,94.0
"Asti, Piedmont, Italy",Red Wine,89.0
"Monterey, Central Coast, California",White Wine,90.0
"Green Valley, Russian River, Sonoma County, California",Red Wine,94.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"St. Estephe, Bordeaux, France",Red Wine,91.0
"Yountville, Napa Valley, California",Red Wine,96.0
Argentina,Red Wine,89.0
"Oakville, Napa Valley, California",Red Wine,92.0
"Sonoma County, California",Red Wine,91.0
"Rhone, France",Red Wine,88.0
Washington,White Wine,88.0
"Santa Barbara, Central Coast, California",Red Wine,91.0
"Tuscany, Italy",Red Wine,92.0
"Sonoma County, California",White Wine,90.0
"Loire, France",White Wine,90.0
"Carneros, California",White Wine,91.0
"Eola-Amity Hills, Willamette Valley, Oregon",White Wine,95.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0
"Rhone, France",Pink and Rosé,90.0
"Oakville, Napa Valley, California",Red Wine,92.0
"Lirac, Rhone, France",Red Wine,92.0
Portugal,White Wine,91.0
"Napa Valley, California",Red Wine,90.0
"Sonoma County, California",White Wine,87.0
"Carneros, California",White Wine,87.0
"Napa Valley, California",Red Wine,92.0
"Sonoma County, California",Red Wine,88.0
California,Red Wine,91.0
"Rutherford, Napa Valley, California",Red Wine,92.0
New Zealand,White Wine,87.0
"Gigondas, Rhone, France",Red Wine,96.0
"Clare Valley, South Australia, Australia",Red Wine,91.0
"Umbria, Italy",Red Wine,90.0
"St. Emilion, Bordeaux, France",Red Wine,99.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,90.0
"Beaujolais, Burgundy, France",Red Wine,90.0
"Dry Creek Valley, Sonoma County, California",Red Wine,90.0
California,Red Wine,90.0
"Napa Valley, California",White Wine,91.0
"Gavi, Piedmont, Italy",White Wine,92.0
Italy,Red Wine,87.0
"St. Emilion, Bordeaux, France",Red Wine,93.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Sauternes, Bordeaux, France",Collectible,94.0
"Willamette Valley, Oregon",Red Wine,90.0
"Margaux, Bordeaux, France",Red Wine,93.0
"Mosel, Germany",White Wine,91.0
"Champagne, France",Sparkling & Champagne,90.0
"Cotes du Rhone, Rhone, France",Red Wine,91.0
"Chianti, Tuscany, Italy",Red Wine,88.0
"Margaret River, Western Australia, Australia",White Wine,90.0
"Clare Valley, South Australia, Australia",Red Wine,90.0
"Sauternes, Bordeaux, France",Collectible,97.0
"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,94.0
"Sonoma County, California",White Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0
"Spring Mountain District, Napa Valley, California",Red Wine,98.0
"Columbia Valley, Washington",White Wine,88.0
"Carneros, California",Red Wine,86.0
Australia,White Wine,85.0
Chile,Red Wine,91.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Central Coast, California",White Wine,90.0
"Arroyo Seco, Monterey, Central Coast, California",White Wine,89.0
"Basilicata, Italy",Red Wine,90.0
"Red Mountain, Yakima Valley, Columbia Valley, Washington",Red Wine,96.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
"Columbia Valley, Washington",Red Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,94.0
"Barolo, Piedmont, Italy",Red Wine,90.0
"Alsace, France",White Wine,91.0
"Tuscany, Italy",Red Wine,94.0
"Napa Valley, California",White Wine,90.0
"Rioja, Spain",Red Wine,90.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Knights Valley, Sonoma County, California",Red Wine,96.0
"Champagne, France",Sparkling & Champagne,90.0
"Central Coast, California",White Wine,90.0
"Paso Robles, Central Coast, California",Red Wine,97.0
"Central Coast, California",Red Wine,89.0
"Columbia Valley, Washington",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,90.0
Australia,White Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Willamette Valley, Oregon",Sparkling & Champagne,90.0
"Napa Valley, California",Red Wine,92.0
"Cornas, Rhone, France",Red Wine,95.0
"Sonoma Coast, Sonoma County, California",Red Wine,91.0
"Priorat, Spain",Red Wine,88.0
"Willamette Valley, Oregon",Sparkling & Champagne,91.0
"McLaren Vale, South Australia, Australia",Red Wine,88.0
"Tuscany, Italy",Red Wine,92.0
"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,93.0
"Yakima Valley, Columbia Valley, Washington",Red Wine,94.0
"Loire, France",Red Wine,92.0
"Cotes du Rhone Villages, Rhone, France",Red Wine,91.0
"Howell Mountain, Napa Valley, California",Red Wine,93.0
"Napa Valley, California",Red Wine,90.0
"Santa Cruz Mountains, California",Red Wine,92.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,92.0
"Languedoc, South of France, France",Red Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
"Cote Rotie, Rhone, France",Red Wine,92.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Cotes du Rhone Villages, Rhone, France",Red Wine,90.0
"Chalone, Monterey, Central Coast, California",White Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Douro, Portugal",Red Wine,92.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
Australia,Red Wine,88.0
"Willamette Valley, Oregon",Red Wine,90.0
"Valpolicella, Veneto, Italy",Red Wine,88.0
"Pomerol, Bordeaux, France",Red Wine,90.0
"Napa Valley, California",White Wine,89.0
Argentina,Red Wine,91.0
"La Clape, Languedoc, South of France, France",White Wine,91.0
"Rioja, Spain",Red Wine,92.0
"Willow Creek District, Paso Robles, Central Coast, California",Red Wine,92.0
"Napa Valley, California",Red Wine,93.0
"Carneros, California",Red Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,88.0
"Pauillac, Bordeaux, France",Red Wine,93.0
Italy,Red Wine,91.0
"Santa Maria Valley, Central Coast, California",White Wine,93.0
"Dry Creek Valley, Sonoma County, California",Red Wine,92.0
"Santa Maria Valley, Central Coast, California",Red Wine,91.0
"Green Valley, Russian River, Sonoma County, California",White Wine,90.0
"Sonoma County, California",Red Wine,93.0
"Russian River, Sonoma County, California",White Wine,90.0
"Oakville, Napa Valley, California",Red Wine,91.0
"Mosel, Germany",White Wine,94.0
"Marlborough, New Zealand",White Wine,88.0
"Yountville, Napa Valley, California",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,87.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,91.0
"Alsace, France",White Wine,92.0
"Ribera del Duero, Spain",Red Wine,91.0
"Central Coast, California",Red Wine,90.0
"Cornas, Rhone, France",Red Wine,90.0
"Napa Valley, California",Red Wine,92.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0
"Jura, France",White Wine,92.0
New Zealand,White Wine,90.0
"Sonoma Coast, Sonoma County, California",Red Wine,95.0
"Montalcino, Tuscany, Italy",Red Wine,93.0
"Sonoma County, California",White Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Yarra Valley, Victoria, Australia",White Wine,88.0
"Languedoc, South of France, France",Red Wine,88.0
"Marlborough, New Zealand",White Wine,90.0
Argentina,Red Wine,91.0
"Sonoma County, California",Red Wine,91.0
"Napa Valley, California",Red Wine,90.0
"Medoc, Bordeaux, France",Red Wine,89.0
"Napa Valley, California",White Wine,92.0
"Willamette Valley, Oregon",Red Wine,91.0
"Howell Mountain, Napa Valley, California",Red Wine,91.0
"Cotes du Ventoux, Rhone, France",Red Wine,90.0
"Tuscany, Italy",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,90.0
"Colchagua Valley, Rapel Valley, Chile",Red Wine,89.0
"Ribera del Duero, Spain",Red Wine,91.0
"Coonawarra, South Australia, Australia",Red Wine,88.0
California,White Wine,90.0
"Carneros, California",White Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Burgenland, Austria",,93.0
"Ribera del Duero, Spain",Red Wine,90.0
"Chianti, Tuscany, Italy",Red Wine,90.0
"Clare Valley, South Australia, Australia",White Wine,90.0
Argentina,Red Wine,93.0
"Columbia Valley, Washington",Red Wine,88.0
"Willamette Valley, Oregon",White Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",White Wine,92.0
"Sicily, Italy",Red Wine,92.0
"Soave, Veneto, Italy",White Wine,90.0
Spain,Red Wine,90.0
"Sicily, Italy",Red Wine,91.0
"Pessac-Leognan, Bordeaux, France",Red Wine,92.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,91.0
"Chinon, Touraine, Loire, France",Red Wine,88.0
"Margaux, Bordeaux, France",Red Wine,94.0
"Ribera del Duero, Spain",Red Wine,92.0
"Tuscany, Italy",Red Wine,91.0
Chile,Red Wine,91.0
"Maule Valley, Chile",Red Wine,91.0
"Dundee Hills, Willamette Valley, Oregon",Red Wine,91.0
"Willamette Valley, Oregon",Red Wine,91.0
"McLaren Vale, South Australia, Australia",White Wine,90.0
"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,91.0
"Carneros, California",White Wine,90.0
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,95.0
"Trentino-Alto Adige, Italy",Red Wine,90.0
"Veneto, Italy",Red Wine,90.0
"Amador, Sierra Foothills, California",Red Wine,89.0
"Napa Valley, California",Red Wine,94.0
"Willamette Valley, Oregon",Red Wine,87.0
"Columbia Valley, Washington",Red Wine,90.0
"Rhone, France",Red Wine,88.0
"Yountville, Napa Valley, California",White Wine,95.0
"San Francisco Bay, Central Coast, California",Red Wine,89.0
"Umbria, Italy",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Central Coast, California",White Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
Spain,Red Wine,90.0
"Napa Valley, California",White Wine,88.0
"Edna Valley, Central Coast, California",Red Wine,93.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Tuscany, Italy",Red Wine,90.0
"Languedoc, South of France, France",Pink and Rosé,89.0
"Rioja, Spain",White Wine,90.0
Argentina,Red Wine,92.0
"Santa Maria Valley, Central Coast, California",Red Wine,90.0
"Santa Maria Valley, Central Coast, California",Red Wine,92.0
"Columbia Valley, Washington",Red Wine,89.0
"St. Emilion, Bordeaux, France",Red Wine,90.0
"Martinborough, New Zealand",White Wine,90.0
"Roero, Piedmont, Italy",White Wine,90.0
California,Red Wine,85.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,93.0
"Carneros, California",Sparkling & Champagne,89.0
Australia,White Wine,85.0
"Casablanca Valley, Chile",White Wine,90.0
"Beaujolais, Burgundy, France",Red Wine,90.0
Australia,Red Wine,90.0
"Condrieu, Rhone, France",White Wine,93.0
"Tuscany, Italy",Red Wine,91.0
"Mosel, Germany",White Wine,94.0
"Bordeaux, France",White Wine,90.0
"Piedmont, Italy",Red Wine,95.0
"La Mancha, Spain",Red Wine,91.0
"Sonoma County, California",Red Wine,85.0
"Columbia Valley, Washington",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,95.0
Washington,Red Wine,91.0
"Amador, Sierra Foothills, California",Red Wine,94.0
"Napa Valley, California",Red Wine,94.0
Chile,Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,87.0
"Napa Valley, California",Red Wine,93.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,92.0
"Central Coast, California",Red Wine,88.0
"Napa Valley, California",White Wine,90.0
"Napa Valley, California",Red Wine,94.0
"Sonoma County, California",White Wine,96.0
"Burgundy, France",Red Wine,89.0
"Alsace, France",White Wine,90.0
"St-Julien, Bordeaux, France",Red Wine,90.0
"Sonoma Coast, Sonoma County, California",White Wine,94.0
"Alsace, France",White Wine,91.0
"Petaluma Gap, Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,90.0
"Burgundy, France",Red Wine,90.0
Spain,Red Wine,90.0
"Russian River, Sonoma County, California",Red Wine,93.0
"Barolo, Piedmont, Italy",Red Wine,93.0
"Russian River, Sonoma County, California",White Wine,92.0
"Ribera del Duero, Spain",Red Wine,93.0
"Pomerol, Bordeaux, France",Red Wine,95.0
"Margaret River, Western Australia, Australia",White Wine,90.0
"Sonoma County, California",White Wine,90.0
Oregon,Red Wine,91.0
"Russian River, Sonoma County, California",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,91.0
"Ribera del Duero, Spain",Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,90.0
"Yakima Valley, Columbia Valley, Washington",Red Wine,91.0
"Costieres de Nimes, Rhone, France",Pink and Rosé,89.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,90.0
Spain,Red Wine,89.0
"McLaren Vale, South Australia, Australia",Red Wine,93.0
"Sonoma County, California",White Wine,87.0
"Cotes du Rhone Villages, Rhone, France",Red Wine,93.0
"Languedoc, South of France, France",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,91.0
Spain,,92.0
"Rioja, Spain",Red Wine,92.0
"Crozes-Hermitage, Rhone, France",Red Wine,90.0
"Mosel, Germany",White Wine,93.0
"Napa Valley, California",Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Pessac-Leognan, Bordeaux, France",Red Wine,92.0
"Tuscany, Italy",Red Wine,92.0
"Maipo Valley, Chile",Red Wine,96.0
Portugal,,93.0
"St. Estephe, Bordeaux, France",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Napa Valley, California",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Willamette Valley, Oregon",Red Wine,90.0
"Colchagua Valley, Rapel Valley, Chile",Red Wine,90.0
"Loire, France",White Wine,89.0
"Sonoma County, California",Red Wine,90.0
"Margaux, Bordeaux, France",Red Wine,90.0
"St. Estephe, Bordeaux, France",Red Wine,92.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,97.0
"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,91.0
"Santorini, Greece",,96.0
"Rias Baixas, Spain",White Wine,92.0
"Central Coast, California",White Wine,93.0
"Clarksburg, Yolo County, California",White Wine,89.0
"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,94.0
"Mosel, Germany",White Wine,92.0
"Napa Valley, California",Red Wine,95.0
"Tuscany, Italy",Red Wine,90.0
"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,93.0
"Sonoma County, California",White Wine,88.0
"Gigondas, Rhone, France",Red Wine,96.0
"Central Coast, California",Red Wine,92.0
"Columbia Valley, Washington",Red Wine,89.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Cotes du Rhone, Rhone, France",Red Wine,90.0
"St. Estephe, Bordeaux, France",Red Wine,94.0
Italy,Red Wine,90.0
"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
Italy,Red Wine,90.0
"Barbaresco, Piedmont, Italy",Red Wine,92.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,91.0
"Burgundy, France",White Wine,96.0
"Columbia Valley, Washington",White Wine,88.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,91.0
"Napa Valley, California",Red Wine,90.0
Spain,Red Wine,90.0
"Margaux, Bordeaux, France",Red Wine,90.0
"Marlborough, New Zealand",White Wine,88.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Napa Valley, California",White Wine,93.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,92.0
"Ribera del Duero, Spain",Red Wine,90.0
"Chalone, Monterey, Central Coast, California",Red Wine,93.0
"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,90.0
"Central Coast, California",Red Wine,87.0
"Pauillac, Bordeaux, France",Red Wine,90.0
"San Antonio Valley (Chile), Chile",Red Wine,93.0
"Napa Valley, California",Red Wine,93.0
"Rutherford, Napa Valley, California",Red Wine,94.0
"Dundee Hills, Willamette Valley, Oregon",Red Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,90.0
"Gigondas, Rhone, France",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,90.0
"Gigondas, Rhone, France",Red Wine,90.0
Hungary,Sparkling & Champagne,92.0
"Sonoma Coast, Sonoma County, California",Red Wine,92.0
"Napa Valley, California",Red Wine,90.0
"Rapel Valley, Chile",Red Wine,90.0
"Napa Valley, California",White Wine,91.0
"Rhone, France",Red Wine,93.0
"Napa Valley, California",Red Wine,98.0
"Colchagua Valley, Rapel Valley, Chile",Red Wine,91.0
"Napa Valley, California",Red Wine,92.0
"Abruzzo, Italy",Red Wine,88.0
"Tuscany, Italy",Red Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Columbia Valley, Washington",White Wine,89.0
"Priorat, Spain",Red Wine,92.0
"Russian River, Sonoma County, California",Red Wine,92.0
"Jerez, Spain",,91.0
"Napa Valley, California",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Oakville, Napa Valley, California",Red Wine,95.0
"Columbia Valley, Washington",Red Wine,90.0
"Minervois La Liviniere, Minervois, Languedoc, South of France, France",Red Wine,93.0
"Sonoma Valley, Sonoma County, California",Red Wine,90.0
"Mendoza, Argentina",Red Wine,91.0
"Columbia Valley, Washington",Red Wine,91.0
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,93.0
Argentina,Red Wine,93.0
"Napa Valley, California",Red Wine,96.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0
"St-Julien, Bordeaux, France",Red Wine,90.0
"Cotes du Roussillon-Tautavel, Côtes du Roussillon-Villages, Roussillon, South of France, France",Red Wine,90.0
"Napa Valley, California",Red Wine,92.0
"Uco Valley, Mendoza, Argentina",Red Wine,94.0
"Sonoma County, California",White Wine,90.0
"Tuscany, Italy",Red Wine,90.0
"Valpolicella, Veneto, Italy",Red Wine,93.0
Chile,Red Wine,88.0
"Dry Creek Valley, Sonoma County, California",Red Wine,95.0
"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,91.0
"Friuli-Venezia Giulia, Italy",White Wine,88.0
"Toro, Spain",Red Wine,90.0
"Alsace, France",White Wine,92.0
"Toro, Spain",Red Wine,90.0
"Lodi, California",Red Wine,89.0
"Columbia Valley, Washington",White Wine,93.0
"Sonoma Coast, Sonoma County, California",White Wine,92.0
Argentina,Red Wine,89.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Patagonia, Argentina",Red Wine,91.0
"Martinborough, New Zealand",Red Wine,92.0
"McLaren Vale, South Australia, Australia",Red Wine,96.0
Australia,Red Wine,92.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Umpqua Valley, Oregon",White Wine,91.0
"St-Julien, Bordeaux, France",Red Wine,92.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Pauillac, Bordeaux, France",Red Wine,95.0
South Africa,Red Wine,92.0
Italy,Red Wine,90.0
"Bordeaux, France",Sparkling & Champagne,89.0
"Colli Orientali del Friuli, Friuli-Venezia Giulia, Italy",White Wine,91.0
"Central Coast, California",Red Wine,95.0
"Ribera del Duero, Spain",Red Wine,91.0
"Santa Barbara, Central Coast, California",Red Wine,92.0
"New York, Other U.S.",Pink and Rosé,90.0
"Champagne, France",Sparkling & Champagne,90.0
"Bandol, Provence, South of France, France",White Wine,90.0
"Alsace, France",White Wine,90.0
"Yakima Valley, Columbia Valley, Washington",White Wine,86.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
Chile,Red Wine,90.0
"Madeira, Portugal",,90.0
"Napa Valley, California",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,88.0
"Pomerol, Bordeaux, France",Red Wine,94.0
"Willamette Valley, Oregon",Red Wine,90.0
"St. Emilion, Bordeaux, France",Red Wine,92.0
"Hermitage, Rhone, France",Red Wine,96.0
"Napa Valley, California",Red Wine,91.0
Washington,White Wine,88.0
"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,91.0
California,White Wine,87.0
"Willamette Valley, Oregon",Red Wine,93.0
Portugal,,95.0
"Napa Valley, California",Red Wine,92.0
"Tuscany, Italy",Red Wine,91.0
"Sonoma Coast, Sonoma County, California",Red Wine,91.0
"Napa Valley, California",White Wine,92.0
"Chablis, Burgundy, France",White Wine,90.0
South Africa,White Wine,91.0
"Sonoma County, California",White Wine,92.0
"Sonoma Coast, Sonoma County, California",White Wine,94.0
"Central Coast, California",White Wine,90.0
"Sonoma County, California",Red Wine,97.0
"Mendoza, Argentina",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,97.0
"Hawkes Bay, New Zealand",White Wine,90.0
Argentina,Red Wine,89.0
"Napa Valley, California",Red Wine,90.0
"Sonoma County, California",White Wine,90.0
"Napa Valley, California",Red Wine,93.0
Italy,White Wine,90.0
"Loire, France",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
Chile,Red Wine,91.0
"Tuscany, Italy",Red Wine,91.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Napa Valley, California",Red Wine,96.0
"Columbia Valley, Washington",White Wine,90.0
"Napa Valley, California",Red Wine,93.0
"Sonoma Mountain, Sonoma Valley, Sonoma County, California",Red Wine,91.0
"Russian River, Sonoma County, California",White Wine,90.0
"Sonoma County, California",Red Wine,90.0
"Macedonia, Greece",White Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
Austria,White Wine,88.0
"Napa Valley, California",Red Wine,90.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,93.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Napa Valley, California",Red Wine,90.0
New Zealand,White Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Willamette Valley, Oregon",Red Wine,90.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,95.0
"Clare Valley, South Australia, Australia",White Wine,90.0
"Sonoma Coast, Sonoma County, California",Red Wine,93.0
"Burgundy, France",Red Wine,86.0
"Burgenland, Austria",Collectible,97.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,94.0
"Calistoga, Napa Valley, California",Red Wine,93.0
"Spring Mountain District, Napa Valley, California",Red Wine,95.0
"Napa Valley, California",Red Wine,92.0
"Champagne, France",Sparkling & Champagne,91.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Burgundy, France",Red Wine,93.0
"Yamhill-Carlton District, Willamette Valley, Oregon",Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,93.0
"Willamette Valley, Oregon",Sparkling & Champagne,90.0
"Sonoma County, California",Red Wine,89.0
"Sonoma County, California",Red Wine,89.0
"Marlborough, New Zealand",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0
"Sonoma Coast, Sonoma County, California",White Wine,92.0
"Mosel, Germany",White Wine,91.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,90.0
"Rioja, Spain",Red Wine,90.0
"Central Coast, California",Red Wine,91.0
"Burgundy, France",Red Wine,91.0
"Carneros, California",Red Wine,93.0
"Champagne, France",Sparkling & Champagne,90.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Central Otago, New Zealand",Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Dundee Hills, Willamette Valley, Oregon",White Wine,91.0
"Beaujolais, Burgundy, France",Red Wine,89.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,97.0
"St-Julien, Bordeaux, France",Red Wine,92.0
"Rhone, France",Red Wine,90.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,91.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98.0
"Maipo Valley, Chile",Red Wine,92.0
"Mosel, Germany",White Wine,92.0
Chile,Red Wine,89.0
"Champagne, France",Sparkling & Champagne,94.0
"Napa Valley, California",Red Wine,92.0
Chile,Red Wine,90.0
"Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,95.0
California,Pink and Rosé,90.0
"Rioja, Spain",Red Wine,91.0
"Sonoma County, California",White Wine,87.0
"Mendoza, Argentina",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Carneros, California",Red Wine,91.0
"Campania, Italy",Red Wine,90.0
"Napa Valley, California",Red Wine,97.0
"Colchagua Valley, Rapel Valley, Chile",Red Wine,95.0
"North Coast, California",Red Wine,90.0
Argentina,Red Wine,91.0
"Marlborough, New Zealand",White Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,90.0
Spain,Sparkling & Champagne,95.0
"Willamette Valley, Oregon",White Wine,91.0
"Napa Valley, California",Red Wine,92.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,91.0
"St. Estephe, Bordeaux, France",Red Wine,91.0
"Napa Valley, California",Red Wine,92.0
Greece,Pink and Rosé,90.0
"Champagne, France",Sparkling & Champagne,91.0
